Date                                                                   Debit €       Credit €     Balance €,Details,Value
,,
2024-07-02,Interest Rate,
2024-07-02,Disney Plus,10.99
2024-07-02,Doctor,60
2024-07-02,Ikea Ireland ,41.5
2024-07-02,Doctor,95.41
2024-07-02,Hummgroup,85.06
2024-07-02,Microsoft Storage,2
2024-07-02,Credit Card ,132.86
2024-07-04,Motor Tax,155
2024-07-05,Apple Storage,2.99
2024-07-08,Netflix,8.99
2024-07-08,Coffee,6
2024-07-08,Doctor,130
2024-07-08,Spar Balbrigga,14.7
2024-07-08,Coffee,3
2024-07-08,Restaurant,28.49
2024-07-08,Supervalu Balb,17.14
2024-07-10,Bord Gais Electricity ,4.78
2024-07-12,Spar East Poin,2.5
2024-07-15,Google Storage,1.99
2024-07-15,Lidl Balbriggan,56.05
2024-07-15,Gym,36
2024-07-15,Pizza,18.5
2024-07-15,Spar East Poin,5.95
2024-07-15,Supervalu Balb,7.08
2024-07-15,Supervalu Balb,24.94
2024-07-16,Chat Gpt,23.1
2024-07-16,Fee,0.45
2024-07-18,Amazon,11.16
2024-07-18,Fee,0.45
2024-07-19,Diesel,49.99
2024-07-22,Mirian Carneiro,90.3
2024-07-22,Supervalu Balb,4.49
2024-07-22,Supervalu Balb,7.08
2024-07-22,Tesco Stores 6,28.12
2024-07-23,Gustavo,25
2024-07-29,Restaurant,136.62
2024-07-29,Irish Life ,61.15
2024-07-29,Applegreen Bal,30.04
2024-07-29,Pub,7
2024-07-29,Pub,7
2024-07-29,Pub,24.95
2024-07-29,Lidl Balb,34.74
2024-07-29,Supervalu Balb,3.55
2024-07-29,Car Park,2.7
2024-07-30,Interest Rate,
2024-07-30,Lending @ 11.850%,
2024-07-30,Eir,50.55
2024-07-30,,
2024-07-30,Loan Aib,97.32
2024-07-30,Applegreen Bal,34.81
2024-07-30,Car Park,8
2024-07-30,Supervalu Balb,18.58
2024-07-31,Mirian Carneiro,200
2024-08-01,Rent,1214.27
2024-08-01,Supervalu Balb,7.95
2024-08-01,Supervalu Balb,18.6
2024-08-02,Disney Plus,10.99
2024-08-02,Microsoft Storage,2
2024-08-06,Apple Storage,2.99
2024-08-06,Hummgroup,85.06
2024-08-06,Miscelanius,10
2024-08-06,Car Insurance,132.86
2024-08-06,Lidl Balb,22.42
2024-08-06,Supervalu Balb,3.7
2024-08-06,Supervalu Balb,6.11
2024-08-06,Tesco Stores 6,23.18
2024-08-07,Pdfguru.Com,1.99
2024-08-08,Netflix,8.99
